trading_date,sector,sentiment_score,covered_tickers,total_tickers,headline_count,coverage_ratio,score_100,lagged_sentiment_score,lagged_score_100,sentiment_z,sentiment_z_21d_mean
2020-02-03,Comm,0.11642749999999999,5,5,21,1.0,55.821374999999996,-0.18953272727272727,40.523363636363634,,
2020-02-03,Consumer,0.16631831168831168,5,5,39,1.0,58.31591558441558,0.02208868686868687,51.10443434343435,,
2020-02-03,Energy,0.03915935897435896,5,5,25,1.0,51.95796794871794,0.05733571428571429,52.86678571428571,,
2020-02-03,Financials,0.05593999999999999,4,5,6,0.8,52.797000000000004,0.09355142857142858,54.677571428571426,,
2020-02-03,Healthcare,0.12121192780337942,5,5,51,1.0,56.06059639016897,0.20481533333333335,60.240766666666666,,
2020-02-03,Industrials,0.07540466666666668,5,5,14,1.0,53.77023333333333,0.07855100000000001,53.927550000000004,,
2020-02-03,Materials,0.14187,4,5,12,0.8,57.0935,0.01773333333333333,50.88666666666667,,
2020-02-03,RealEstate,0.03612,2,5,3,0.4,51.806,0.14476,57.238,,
2020-02-03,Tech,0.05473666666666667,3,5,11,0.6,52.73683333333333,0.11111555555555556,55.555777777777784,,
2020-02-03,Utilities,0.2213716666666667,4,5,14,0.8,61.068583333333336,0.11301999999999998,55.650999999999996,,
2020-02-04,Comm,0.12219899999999999,5,5,17,1.0,56.10995,0.11642749999999999,55.821374999999996,,
2020-02-04,Consumer,0.15808651515151517,5,5,52,1.0,57.90432575757576,0.16631831168831168,58.31591558441558,,
2020-02-04,Energy,0.0864388888888889,5,5,20,1.0,54.32194444444445,0.03915935897435896,51.95796794871794,,
2020-02-04,Financials,0.27631,4,5,6,0.8,63.8155,0.05593999999999999,52.797000000000004,,
2020-02-04,Healthcare,0.17928047619047618,4,5,26,0.8,58.964023809523816,0.12121192780337942,56.06059639016897,,
2020-02-04,Industrials,0.15771833333333335,4,5,11,0.8,57.885916666666674,0.07540466666666668,53.77023333333333,,
2020-02-04,Materials,0.04652,4,5,7,0.8,52.32599999999999,0.14187,57.0935,,
2020-02-04,RealEstate,0.05302333333333333,4,5,8,0.8,52.65116666666667,0.03612,51.806,,
2020-02-04,Tech,0.07460800000000001,5,5,20,1.0,53.7304,0.05473666666666667,52.73683333333333,,
2020-02-04,Utilities,0.11915,4,5,7,0.8,55.9575,0.2213716666666667,61.068583333333336,,
2020-02-05,Comm,-0.006538333333333329,4,5,12,0.8,49.67308333333334,0.12219899999999999,56.10995,,
2020-02-05,Consumer,0.01865351851851852,4,5,43,0.8,50.93267592592593,0.15808651515151517,57.90432575757576,,
2020-02-05,Energy,0.4889691428571429,5,5,18,1.0,74.44845714285715,0.0864388888888889,54.32194444444445,,
2020-02-05,Financials,-0.1472,3,5,4,0.6,42.64,0.27631,63.8155,,
